altitude_km,elevation_deg,TBS_bits,payload_type,RTT_ms,path_loss_dB,SNR_dB,n_repetitions,N_TBPHC,TB_index,direction,use_bundling,n_bundle,n_DD2A,n_UG2D,SUF_fixed,SUF_variable,throughput_fixed_bps,throughput_variable_bps,throughput_gain_percent,N_HARQ_required
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,7,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,8,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,1,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,2,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,3,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,4,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,5,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,6,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,7,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,8,downlink,0,1,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,1,downlink,1,2,8,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,2,downlink,1,2,7,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,3,downlink,1,2,7,8,0.125,0.4,18000,57600,220,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,4,downlink,1,2,6,8,0.125,0.4,18000,57600,220,21
